[CLIENT-0-SCAFFOLD] Run started at: 2026-03-23 09:37:01
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] FeCoGraph SCAFFOLD Client 0
[CLIENT-0-SCAFFOLD] Device: cpu
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] Train: 25,353 | Test: 59,159 | Labeled: 7604
[CLIENT-0-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-0-SCAFFOLD] Connected and registered.
[CLIENT-0-SCAFFOLD]   Round 50 | Loss=6.5322 | Acc(G)=0.9286 | Acc(P)=0.9961 | F1(P)=0.8443 | Time=6.6s
[CLIENT-0-SCAFFOLD]   Round 51 | Loss=6.5336 | Acc(G)=0.9271 | Acc(P)=0.9963 | F1(P)=0.8505 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 52 | Loss=6.5364 | Acc(G)=0.9242 | Acc(P)=0.9970 | F1(P)=0.8714 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 53 | Loss=6.5340 | Acc(G)=0.9260 | Acc(P)=0.9947 | F1(P)=0.8194 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 54 | Loss=6.5328 | Acc(G)=0.9277 | Acc(P)=0.9913 | F1(P)=0.7492 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 55 | Loss=6.5317 | Acc(G)=0.9163 | Acc(P)=0.9969 | F1(P)=0.8676 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 56 | Loss=6.5323 | Acc(G)=0.9178 | Acc(P)=0.9936 | F1(P)=0.7969 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 57 | Loss=6.5316 | Acc(G)=0.9267 | Acc(P)=0.9969 | F1(P)=0.8694 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 58 | Loss=6.5310 | Acc(G)=0.9270 | Acc(P)=0.9954 | F1(P)=0.8263 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 59 | Loss=6.5284 | Acc(G)=0.9267 | Acc(P)=0.9969 | F1(P)=0.8687 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 60 | Loss=6.5308 | Acc(G)=0.9259 | Acc(P)=0.9975 | F1(P)=0.8870 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 61 | Loss=6.5287 | Acc(G)=0.9250 | Acc(P)=0.9952 | F1(P)=0.8313 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 62 | Loss=6.5312 | Acc(G)=0.9269 | Acc(P)=0.9909 | F1(P)=0.7523 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 63 | Loss=6.5316 | Acc(G)=0.9266 | Acc(P)=0.9950 | F1(P)=0.8250 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 64 | Loss=6.5316 | Acc(G)=0.9278 | Acc(P)=0.9978 | F1(P)=0.8979 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 65 | Loss=6.5302 | Acc(G)=0.9257 | Acc(P)=0.9865 | F1(P)=0.7023 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 66 | Loss=6.5271 | Acc(G)=0.9183 | Acc(P)=0.9940 | F1(P)=0.8037 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 67 | Loss=6.5283 | Acc(G)=0.9273 | Acc(P)=0.9964 | F1(P)=0.8597 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 68 | Loss=6.5281 | Acc(G)=0.9266 | Acc(P)=0.9942 | F1(P)=0.8078 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 69 | Loss=6.5261 | Acc(G)=0.9174 | Acc(P)=0.9890 | F1(P)=0.7284 | Time=7.0s
[CLIENT-0-SCAFFOLD]   Round 70 | Loss=6.5270 | Acc(G)=0.9272 | Acc(P)=0.9891 | F1(P)=0.7296 | Time=6.9s
[CLIENT-0-SCAFFOLD]   Round 71 | Loss=6.5257 | Acc(G)=0.9279 | Acc(P)=0.9983 | F1(P)=0.9214 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 72 | Loss=6.5248 | Acc(G)=0.9279 | Acc(P)=0.9980 | F1(P)=0.9132 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 73 | Loss=6.5289 | Acc(G)=0.9270 | Acc(P)=0.9967 | F1(P)=0.8635 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 74 | Loss=6.5260 | Acc(G)=0.9300 | Acc(P)=0.9947 | F1(P)=0.8186 | Time=7.4s
[CLIENT-0-SCAFFOLD]   Round 75 | Loss=6.5245 | Acc(G)=0.9273 | Acc(P)=0.9980 | F1(P)=0.9120 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 76 | Loss=6.5249 | Acc(G)=0.9232 | Acc(P)=0.9969 | F1(P)=0.8739 | Time=7.0s
