[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 08:23:25
[CLIENT-1-SCAFFOLD] Run ID: 20260325_082325
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_multiclass_sslcon\logs\client_1_20260325_082325.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1389
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 49 | Loss=4.9595 | Acc(G)=0.0175 | Acc(P)=0.7599 | F1(P)=0.5083 | Time=14.9s
[CLIENT-1-SCAFFOLD]   Round 50 | Loss=5.0554 | Acc(G)=0.2547 | Acc(P)=0.7993 | F1(P)=0.5208 | Time=15.0s
[CLIENT-1-SCAFFOLD]   Round 51 | Loss=4.9766 | Acc(G)=0.0172 | Acc(P)=0.7585 | F1(P)=0.5132 | Time=5.5s
[CLIENT-1-SCAFFOLD]   Round 52 | Loss=5.0723 | Acc(G)=0.2547 | Acc(P)=0.7440 | F1(P)=0.5371 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 53 | Loss=4.9696 | Acc(G)=0.0178 | Acc(P)=0.7558 | F1(P)=0.4921 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 54 | Loss=5.0678 | Acc(G)=0.2547 | Acc(P)=0.7808 | F1(P)=0.5088 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 55 | Loss=4.9744 | Acc(G)=0.0183 | Acc(P)=0.8255 | F1(P)=0.5052 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 56 | Loss=5.0512 | Acc(G)=0.2547 | Acc(P)=0.8363 | F1(P)=0.5274 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 57 | Loss=4.9682 | Acc(G)=0.0180 | Acc(P)=0.7699 | F1(P)=0.5049 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 58 | Loss=5.0662 | Acc(G)=0.2547 | Acc(P)=0.7689 | F1(P)=0.5714 | Time=6.0s
