[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 07:11:27
[CLIENT-1-SCAFFOLD] Run ID: 20260325_071127
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_binary_sslcon\logs\client_1_20260325_071127.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 46 | Loss=4.9196 | Acc(G)=0.4044 | Acc(P)=0.9481 | F1(P)=0.9352 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 47 | Loss=4.8287 | Acc(G)=0.4346 | Acc(P)=0.9379 | F1(P)=0.9235 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 48 | Loss=4.9086 | Acc(G)=0.3985 | Acc(P)=0.9484 | F1(P)=0.9355 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 49 | Loss=4.8529 | Acc(G)=0.4288 | Acc(P)=0.9488 | F1(P)=0.9359 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 50 | Loss=4.8896 | Acc(G)=0.3995 | Acc(P)=0.9486 | F1(P)=0.9357 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 51 | Loss=4.8320 | Acc(G)=0.4292 | Acc(P)=0.9494 | F1(P)=0.9366 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 52 | Loss=4.9056 | Acc(G)=0.3945 | Acc(P)=0.9494 | F1(P)=0.9367 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 53 | Loss=4.8527 | Acc(G)=0.4246 | Acc(P)=0.9494 | F1(P)=0.9366 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 54 | Loss=4.9071 | Acc(G)=0.3911 | Acc(P)=0.9596 | F1(P)=0.9489 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 55 | Loss=4.8411 | Acc(G)=0.4230 | Acc(P)=0.9496 | F1(P)=0.9371 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 56 | Loss=4.9019 | Acc(G)=0.3913 | Acc(P)=0.9585 | F1(P)=0.9475 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 57 | Loss=4.8418 | Acc(G)=0.4191 | Acc(P)=0.9601 | F1(P)=0.9495 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 58 | Loss=4.8949 | Acc(G)=0.3831 | Acc(P)=0.9589 | F1(P)=0.9480 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 59 | Loss=4.8450 | Acc(G)=0.4185 | Acc(P)=0.9520 | F1(P)=0.9398 | Time=6.0s
