[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 10:49:13
[CLIENT-1-SCAFFOLD] Run ID: 20260325_104913
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_multiclass_supcon\logs\client_1_20260325_104913.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: supcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1389
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 70 | Loss=6.3119 | Acc(G)=0.1447 | Acc(P)=0.7708 | F1(P)=0.5515 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 71 | Loss=5.7830 | Acc(G)=0.0185 | Acc(P)=0.7784 | F1(P)=0.5216 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 72 | Loss=6.3465 | Acc(G)=0.1435 | Acc(P)=0.7647 | F1(P)=0.4869 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 73 | Loss=5.7947 | Acc(G)=0.0183 | Acc(P)=0.7934 | F1(P)=0.5069 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 74 | Loss=6.3129 | Acc(G)=0.1475 | Acc(P)=0.7896 | F1(P)=0.5798 | Time=7.1s
[CLIENT-1-SCAFFOLD]   Round 75 | Loss=5.7773 | Acc(G)=0.0182 | Acc(P)=0.7594 | F1(P)=0.4901 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 76 | Loss=6.3335 | Acc(G)=0.1410 | Acc(P)=0.7844 | F1(P)=0.5016 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 77 | Loss=5.7877 | Acc(G)=0.0180 | Acc(P)=0.7775 | F1(P)=0.4740 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 78 | Loss=6.3207 | Acc(G)=0.1474 | Acc(P)=0.7438 | F1(P)=0.4755 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 79 | Loss=5.7943 | Acc(G)=0.0186 | Acc(P)=0.7818 | F1(P)=0.5407 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 80 | Loss=6.3441 | Acc(G)=0.1440 | Acc(P)=0.7837 | F1(P)=0.5629 | Time=6.9s
[CLIENT-1-SCAFFOLD]   Round 81 | Loss=5.7885 | Acc(G)=0.0182 | Acc(P)=0.7920 | F1(P)=0.5012 | Time=6.4s
[CLIENT-1-SCAFFOLD]   Round 82 | Loss=6.3325 | Acc(G)=0.1429 | Acc(P)=0.7684 | F1(P)=0.4824 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 83 | Loss=5.7776 | Acc(G)=0.0183 | Acc(P)=0.7815 | F1(P)=0.5287 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 84 | Loss=6.3506 | Acc(G)=0.1449 | Acc(P)=0.7701 | F1(P)=0.4962 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 85 | Loss=5.7938 | Acc(G)=0.0181 | Acc(P)=0.7660 | F1(P)=0.5606 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 86 | Loss=6.3458 | Acc(G)=0.1437 | Acc(P)=0.7771 | F1(P)=0.5220 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 87 | Loss=5.7986 | Acc(G)=0.0181 | Acc(P)=0.7449 | F1(P)=0.5362 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 88 | Loss=6.3374 | Acc(G)=0.1433 | Acc(P)=0.7337 | F1(P)=0.4529 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 89 | Loss=5.7983 | Acc(G)=0.0178 | Acc(P)=0.7957 | F1(P)=0.5055 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 90 | Loss=6.3496 | Acc(G)=0.1478 | Acc(P)=0.7909 | F1(P)=0.5176 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 91 | Loss=5.7884 | Acc(G)=0.0184 | Acc(P)=0.7496 | F1(P)=0.4971 | Time=6.9s
[CLIENT-1-SCAFFOLD]   Round 92 | Loss=6.3423 | Acc(G)=0.1467 | Acc(P)=0.7821 | F1(P)=0.5027 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 93 | Loss=5.8042 | Acc(G)=0.0184 | Acc(P)=0.7702 | F1(P)=0.4907 | Time=6.3s
[CLIENT-1-SCAFFOLD]   Round 94 | Loss=6.3540 | Acc(G)=0.1443 | Acc(P)=0.7629 | F1(P)=0.4777 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 95 | Loss=5.7840 | Acc(G)=0.0186 | Acc(P)=0.7647 | F1(P)=0.4792 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 96 | Loss=6.3511 | Acc(G)=0.1486 | Acc(P)=0.7698 | F1(P)=0.4987 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 97 | Loss=5.8016 | Acc(G)=0.0182 | Acc(P)=0.7945 | F1(P)=0.5056 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 98 | Loss=6.3545 | Acc(G)=0.1452 | Acc(P)=0.7570 | F1(P)=0.4860 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 99 | Loss=5.7978 | Acc(G)=0.0183 | Acc(P)=0.7562 | F1(P)=0.4981 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 100 | Loss=6.3516 | Acc(G)=0.1471 | Acc(P)=0.7666 | F1(P)=0.5406 | Time=6.7s
[CLIENT-1-SCAFFOLD] Received SHUTDOWN. Training complete.
[CLIENT-1-SCAFFOLD] Client done.
