[CLIENT-1-SCAFFOLD] Run started at: 2026-03-23 10:04:16
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: supcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 67 | Loss=6.2196 | Acc(G)=0.7960 | Acc(P)=0.9494 | F1(P)=0.9368 | Time=6.3s
[CLIENT-1-SCAFFOLD]   Round 68 | Loss=6.3473 | Acc(G)=0.7463 | Acc(P)=0.9508 | F1(P)=0.9386 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 69 | Loss=6.2187 | Acc(G)=0.7955 | Acc(P)=0.9526 | F1(P)=0.9406 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 70 | Loss=6.3469 | Acc(G)=0.7470 | Acc(P)=0.9488 | F1(P)=0.9360 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 71 | Loss=6.2216 | Acc(G)=0.7958 | Acc(P)=0.9407 | F1(P)=0.9267 | Time=6.4s
[CLIENT-1-SCAFFOLD]   Round 72 | Loss=6.3462 | Acc(G)=0.7467 | Acc(P)=0.9498 | F1(P)=0.9373 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 73 | Loss=6.2214 | Acc(G)=0.7957 | Acc(P)=0.9497 | F1(P)=0.9372 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 74 | Loss=6.3476 | Acc(G)=0.7462 | Acc(P)=0.9498 | F1(P)=0.9373 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 75 | Loss=6.2208 | Acc(G)=0.7956 | Acc(P)=0.9495 | F1(P)=0.9369 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 76 | Loss=6.3471 | Acc(G)=0.7454 | Acc(P)=0.9520 | F1(P)=0.9399 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 77 | Loss=6.2192 | Acc(G)=0.7957 | Acc(P)=0.9531 | F1(P)=0.9413 | Time=6.8s
[CLIENT-1-SCAFFOLD]   Round 78 | Loss=6.3463 | Acc(G)=0.7446 | Acc(P)=0.9598 | F1(P)=0.9493 | Time=7.5s
[CLIENT-1-SCAFFOLD]   Round 79 | Loss=6.2219 | Acc(G)=0.7956 | Acc(P)=0.9602 | F1(P)=0.9496 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 80 | Loss=6.3476 | Acc(G)=0.7459 | Acc(P)=0.9492 | F1(P)=0.9366 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 81 | Loss=6.2245 | Acc(G)=0.7955 | Acc(P)=0.9577 | F1(P)=0.9466 | Time=8.1s
[CLIENT-1-SCAFFOLD]   Round 82 | Loss=6.3477 | Acc(G)=0.7460 | Acc(P)=0.9597 | F1(P)=0.9490 | Time=7.3s
[CLIENT-1-SCAFFOLD]   Round 83 | Loss=6.2228 | Acc(G)=0.7957 | Acc(P)=0.9501 | F1(P)=0.9374 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 84 | Loss=6.3487 | Acc(G)=0.7487 | Acc(P)=0.9594 | F1(P)=0.9488 | Time=6.9s
[CLIENT-1-SCAFFOLD]   Round 85 | Loss=6.2194 | Acc(G)=0.7953 | Acc(P)=0.9522 | F1(P)=0.9401 | Time=7.2s
[CLIENT-1-SCAFFOLD]   Round 86 | Loss=6.3473 | Acc(G)=0.7478 | Acc(P)=0.9519 | F1(P)=0.9397 | Time=7.4s
[CLIENT-1-SCAFFOLD]   Round 87 | Loss=6.2198 | Acc(G)=0.7957 | Acc(P)=0.9598 | F1(P)=0.9492 | Time=7.6s
[CLIENT-1-SCAFFOLD]   Round 88 | Loss=6.3482 | Acc(G)=0.7464 | Acc(P)=0.9524 | F1(P)=0.9403 | Time=7.4s
[CLIENT-1-SCAFFOLD]   Round 89 | Loss=6.2211 | Acc(G)=0.7957 | Acc(P)=0.9513 | F1(P)=0.9389 | Time=7.3s
[CLIENT-1-SCAFFOLD]   Round 90 | Loss=6.3490 | Acc(G)=0.7482 | Acc(P)=0.9592 | F1(P)=0.9485 | Time=7.4s
[CLIENT-1-SCAFFOLD]   Round 91 | Loss=6.2191 | Acc(G)=0.7956 | Acc(P)=0.9601 | F1(P)=0.9496 | Time=7.4s
[CLIENT-1-SCAFFOLD]   Round 92 | Loss=6.3492 | Acc(G)=0.7471 | Acc(P)=0.9523 | F1(P)=0.9402 | Time=7.2s
[CLIENT-1-SCAFFOLD]   Round 93 | Loss=6.2212 | Acc(G)=0.7957 | Acc(P)=0.9599 | F1(P)=0.9493 | Time=7.4s
[CLIENT-1-SCAFFOLD]   Round 94 | Loss=6.3497 | Acc(G)=0.7500 | Acc(P)=0.9521 | F1(P)=0.9400 | Time=7.2s
[CLIENT-1-SCAFFOLD]   Round 95 | Loss=6.2224 | Acc(G)=0.7953 | Acc(P)=0.9499 | F1(P)=0.9374 | Time=7.3s
[CLIENT-1-SCAFFOLD]   Round 96 | Loss=6.3489 | Acc(G)=0.7461 | Acc(P)=0.9601 | F1(P)=0.9495 | Time=7.6s
[CLIENT-1-SCAFFOLD]   Round 97 | Loss=6.2223 | Acc(G)=0.7957 | Acc(P)=0.9497 | F1(P)=0.9371 | Time=7.6s
[CLIENT-1-SCAFFOLD]   Round 98 | Loss=6.3501 | Acc(G)=0.7470 | Acc(P)=0.9502 | F1(P)=0.9378 | Time=7.2s
[CLIENT-1-SCAFFOLD]   Round 99 | Loss=6.2242 | Acc(G)=0.7957 | Acc(P)=0.9590 | F1(P)=0.9483 | Time=7.5s
[CLIENT-1-SCAFFOLD]   Round 100 | Loss=6.3489 | Acc(G)=0.7482 | Acc(P)=0.9511 | F1(P)=0.9389 | Time=7.4s
[CLIENT-1-SCAFFOLD] Received SHUTDOWN. Training complete.
[CLIENT-1-SCAFFOLD] Client done.
